Pathway 1,Database 1,Relation,Pathway 2,Database 2
Spliceosome,KEGG,Part Of,RNA Polymerase II Transcription Termination,Reactome
Starch and sucrose metabolism,KEGG,Part Of,Metabolism,Reactome
Starch and sucrose metabolism,KEGG,Part Of,Metabolism of carbohydrates,Reactome
Steroid biosynthesis,KEGG,Equivalent,Steroid Biosynthesis,WikiPathways
Steroid biosynthesis,KEGG,Part Of,Metabolism,Reactome
Steroid biosynthesis,KEGG,Part Of,Metabolism of steroids,Reactome
Steroid hormone biosynthesis,KEGG,Part Of,Metabolism of steroid hormones,Reactome
Steroid hormone biosynthesis,KEGG,Part Of,Metabolism,Reactome
Sulfur metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Sulfur metabolism,KEGG,Part Of,Sulfur amino acid metabolism,Reactome
Sulfur metabolism,KEGG,Part Of,Metabolism,Reactome
Synaptic vesicle cycle,KEGG,Equivalent,Synaptic Vesicle Pathway,WikiPathways
Synaptic vesicle cycle,KEGG,Part Of,Vesicle-mediated transport,Reactome
Synthesis and degradation of ketone bodies,KEGG,Equivalent,Synthesis and Degradation of Ketone Bodies,WikiPathways
Synthesis and degradation of ketone bodies,KEGG,Equivalent,Ketone body metabolism,Reactome
Synthesis and degradation of ketone bodies,KEGG,Part Of,Metabolism,Reactome
T cell receptor signaling pathway,KEGG,Part Of,Immune System,Reactome
Taurine and hypotaurine metabolism,KEGG,Part Of,Metabolism,Reactome
Terpenoid backbone biosynthesis,KEGG,Part Of,Metabolism,Reactome
TGF-beta signaling pathway,KEGG,Equivalent,TGF-beta Signaling Pathway,WikiPathways
TGF-beta signaling pathway,KEGG,Equivalent,Signaling by TGF-beta family members,Reactome
Th1 and Th2 cell differentiation,KEGG,Part Of,Adaptive Immune System,Reactome
Th17 cell differentiation,KEGG,Part Of,IL17 signaling pathway,WikiPathways
Th17 cell differentiation,KEGG,Part Of,Cell Differentiation - Index,WikiPathways
Th17 cell differentiation,KEGG,Part Of,Immune System,Reactome
Thermogenesis,KEGG,Part Of,Formation of ATP by chemiosmotic coupling,Reactome
Thermogenesis,KEGG,Part Of,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Reactome
Thermogenesis,KEGG,Part Of,Metabolism,Reactome
Thermogenesis,KEGG,Part Of,Respiratory electron transport,Reactome
Thiamine metabolism,KEGG,Equivalent,Vitamin B1 (thiamin) metabolism,Reactome
Thiamine metabolism,KEGG,Part Of,Metabolism,Reactome
Thyroid hormone synthesis,KEGG,Equivalent,Thyroxine (Thyroid Hormone) Production,WikiPathways
Thyroid hormone synthesis,KEGG,Equivalent,Thyroxine biosynthesis,Reactome
Tight junction,KEGG,Equivalent,Tight junction interactions,Reactome
TNF signaling pathway,KEGG,Equivalent,TNF signaling,Reactome
Toll-like receptor signaling pathway,KEGG,Equivalent,Toll-like Receptor Signaling Pathway,WikiPathways
Toll-like receptor signaling pathway,KEGG,Equivalent,Toll-like Receptor Signaling,WikiPathways
Toll-like receptor signaling pathway,KEGG,Equivalent,Toll-Like Receptors Cascades,Reactome
Tryptophan metabolism,KEGG,Equivalent,Tryptophan metabolism,WikiPathways
Type II diabetes mellitus,KEGG,Equivalent,Type II diabetes mellitus,WikiPathways
Tyrosine metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Tyrosine metabolism,KEGG,Part Of,Biogenic Amine Synthesis,WikiPathways
Tyrosine metabolism,KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
Tyrosine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Tyrosine metabolism,KEGG,Part Of,"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",Reactome
Tyrosine metabolism,KEGG,Part Of,Metabolism,Reactome
Ubiquinone and other terpenoid-quinone biosynthesis,KEGG,Part Of,Metabolism,Reactome
Ubiquinone and other terpenoid-quinone biosynthesis,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Ubiquitin mediated proteolysis,KEGG,Part Of,Parkin-Ubiquitin Proteasomal System pathway,WikiPathways
Ubiquitin mediated proteolysis,KEGG,Part Of,Proteasome Degradation,WikiPathways
"Valine, leucine and isoleucine biosynthesis",KEGG,Part Of,Amino Acid metabolism,WikiPathways
"Valine, leucine and isoleucine biosynthesis",KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
"Valine, leucine and isoleucine biosynthesis",KEGG,Part Of,Metabolism,Reactome
"Valine, leucine and isoleucine degradation",KEGG,Part Of,Amino Acid metabolism,WikiPathways
"Valine, leucine and isoleucine degradation",KEGG,Part Of,Branched-chain amino acid catabolism,Reactome
"Valine, leucine and isoleucine degradation",KEGG,Part Of,Metabolism,Reactome
"Valine, leucine and isoleucine degradation",KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Vascular smooth muscle contraction,KEGG,Part Of,Smooth Muscle Contraction,Reactome
Vascular smooth muscle contraction,KEGG,Part Of,Muscle contraction,Reactome
Vasopressin-regulated water reabsorption,KEGG,Equivalent,Vasopressin regulates renal water homeostasis via Aquaporins,Reactome
VEGF signaling pathway,KEGG,Part Of,VEGFA-VEGFR2 Signaling Pathway,WikiPathways
Vitamin B6 metabolism,KEGG,Part Of,Metabolism,Reactome
Vitamin B6 metabolism,KEGG,Part Of,Metabolism of water-soluble vitamins and cofactors,Reactome
Vitamin B6 metabolism,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Vitamin digestion and absorption,KEGG,Part Of,Intestinal absorption,Reactome
Vitamin digestion and absorption,KEGG,Part Of,Digestion and absorption,Reactome
Vitamin digestion and absorption,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Wnt signaling pathway,KEGG,Equivalent,Wnt Signaling Pathway,WikiPathways
Wnt signaling pathway,KEGG,Equivalent,Signaling by WNT,Reactome
5-Phosphoribose 1-diphosphate biosynthesis,Reactome,Part Of,Carbon metabolism,KEGG
ABC transporter disorders,Reactome,Part Of,ABC transporters,KEGG
ABC transporters in lipid homeostasis,Reactome,Part Of,ABC transporters,KEGG
ABC-family proteins mediated transport,Reactome,Part Of,ABC transporters,KEGG
Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,Reactome,Part Of,2-Oxocarboxylic acid metabolism,KEGG
Acetylcholine Neurotransmitter Release Cycle,Reactome,Part Of,Synaptic Vesicle Pathway,WikiPathways
Activated NOTCH1 Transmits Signal to the Nucleus,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Activated point mutants of FGFR2,Reactome,Part Of,Pathways in cancer,KEGG
activated TAK1 mediates p38 MAPK activation,Reactome,Part Of,MAPK signaling pathway,KEGG
Activation and oligomerization of BAK protein,Reactome,Part Of,Pathways in cancer,KEGG
Activation and oligomerization of BAK protein,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Activation of AMPA receptors,Reactome,Part Of,Dopaminergic synapse,KEGG
Activation of AMPA receptors,Reactome,Part Of,Glutamatergic synapse,KEGG
Activation of ATR in response to replication stress,Reactome,Part Of,ATR Signaling,WikiPathways
Activation of C3 and C5,Reactome,Part Of,Complement and coagulation cascades,KEGG
Activation of C3 and C5,Reactome,Part Of,Complement Activation,WikiPathways
Activation of C3 and C5,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Activation of CaMK IV,Reactome,Part Of,Calcium signaling pathway,KEGG
Activation of caspases through apoptosome-mediated cleavage,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Activation of gene expression by SREBF (SREBP),Reactome,Part Of,Sterol Regulatory Element-Binding Proteins (SREBP) signalling,WikiPathways
Activation of kainate receptors upon glutamate binding,Reactome,Part Of,Glutamatergic synapse,KEGG
Activation of Matrix Metalloproteinases,Reactome,Part Of,Matrix Metalloproteinases,WikiPathways
Activation of RAS in B cells,Reactome,Part Of,Pathways in cancer,KEGG
Activation of RAS in B cells,Reactome,Part Of,Ras signaling pathway,KEGG
"Activation, translocation and oligomerization of BAX",Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Acyl chain remodeling of DAG and TAG,Reactome,Part Of,Glycerolipid metabolism,KEGG
Acyl chain remodelling of PC,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Acyl chain remodelling of PI,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Adenylate cyclase activating pathway,Reactome,Part Of,cAMP signaling pathway,KEGG
Aflatoxin activation and detoxification,Reactome,Part Of,Aflatoxin B1 metabolism,WikiPathways
AKT-mediated inactivation of FOXO1A,Reactome,Part Of,FoxO signaling pathway,KEGG
AKT-mediated inactivation of FOXO1A,Reactome,Part Of,Pathways in cancer,KEGG
Alternative complement activation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Alternative complement activation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Amine Oxidase reactions,Reactome,Part Of,Dopamine metabolism,WikiPathways
Amino acid synthesis and interconversion (transamination),Reactome,Part Of,Biosynthesis of amino acids,KEGG
AMPK inhibits chREBP transcriptional activation activity,Reactome,Part Of,AMPK signaling pathway,KEGG
AMPK inhibits chREBP transcriptional activation activity,Reactome,Part Of,AMP-activated Protein Kinase (AMPK) Signaling,WikiPathways
Androgen biosynthesis,Reactome,Part Of,Ovarian steroidogenesis,KEGG
Androgen biosynthesis,Reactome,Part Of,Steroid Biosynthesis,WikiPathways
"Folding, assembly and peptide loading of class I MHC",Reactome,Part Of,Antigen processing and presentation,KEGG
Ubiquitination & Proteasome degradation,Reactome,Part Of,Proteasome,KEGG
Ubiquitination & Proteasome degradation,Reactome,Part Of,Proteasome Degradation,WikiPathways
Apoptosis,Reactome,Part Of,Apoptosis - multiple species,KEGG
Apoptosis,Reactome,Equivalent,Apoptosis,WikiPathways
Apoptosis,Reactome,Equivalent,Regulation of Complement cascade,Reactome
Apoptotic factor-mediated response,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Apoptotic factor-mediated response,Reactome,Part Of,Oxidative Damage,WikiPathways
Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Reactome,Part Of,Caffeine and Theobromine metabolism,WikiPathways
Aryl hydrocarbon receptor signalling,Reactome,Equivalent,Aryl Hydrocarbon Receptor,WikiPathways
Aryl hydrocarbon receptor signalling,Reactome,Equivalent,Aryl Hydrocarbon Receptor Pathway,WikiPathways
Assembly of the ORC complex at the origin of replication,Reactome,Part Of,G1 to S cell cycle control,WikiPathways
Autodegradation of the E3 ubiquitin ligase COP1,Reactome,Part Of,Proteasome,KEGG
Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,Part Of,Butanoate metabolism,KEGG
Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,Part Of,Butanoate metabolism,KEGG
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,Part Of,Fatty acid degradation,KEGG
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,Part Of,Fatty Acid Beta Oxidation,WikiPathways
Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,Part Of,Mitochondrial LC-Fatty Acid Beta-Oxidation,WikiPathways
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
CTNNB1 to target gene promoters,Reactome,Part Of,Amplification and Expansion of Oncogenic Pathways as Metastatic Traits,WikiPathways
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Reactome,Part Of,Dopaminergic synapse,KEGG
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Reactome,Part Of,Drug metabolism - cytochrome P450,KEGG
Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Reactome,Part Of,Dopamine metabolism,WikiPathways
c-src mediated regulation of Cx43 function and closure of gap junctions,Reactome,Part Of,Gap junction,KEGG
CaM pathway,Reactome,Part Of,Calcium signaling pathway,KEGG
CaMK IV-mediated phosphorylation of CREB,Reactome,Part Of,Energy Metabolism,WikiPathways
Cargo recognition for clathrin-mediated endocytosis,Reactome,Part Of,Endocytosis,KEGG
CASP8 activity is inhibited,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Caspase activation via extrinsic apoptotic signalling pathway,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Catecholamine biosynthesis,Reactome,Part Of,Biogenic Amine Synthesis,WikiPathways
CD28 co-stimulation,Reactome,Part Of,T cell receptor signaling pathway,KEGG
CD28 dependent Vav1 pathway,Reactome,Part Of,T cell receptor signaling pathway,KEGG
Cell Cycle,Reactome,Equivalent,Cell Cycle,WikiPathways
Cell-cell junction organization,Reactome,Part Of,Cell adhesion molecules (CAMs),KEGG
Cellular responses to external stimuli,Reactome,Part Of,Autophagy - other,KEGG
cGMP effects,Reactome,Part Of,cGMP-PKG signaling pathway,KEGG
Chemokine receptors bind chemokines,Reactome,Part Of,Chemokine signaling pathway,KEGG
Chemokine receptors bind chemokines,Reactome,Part Of,Cytokine-cytokine receptor interaction,KEGG
Chemokine receptors bind chemokines,Reactome,Part Of,Chemokine signaling pathway,WikiPathways
Cholesterol biosynthesis,Reactome,Equivalent,Cholesterol Biosynthesis,WikiPathways
Cholesterol biosynthesis,Reactome,Part Of,Steroid Biosynthesis,WikiPathways
Cholesterol biosynthesis via desmosterol,Reactome,Part Of,Cortisol synthesis and secretion,KEGG
Cholesterol biosynthesis via desmosterol,Reactome,Part Of,Cholesterol Biosynthesis,WikiPathways
Cholesterol biosynthesis via lathosterol,Reactome,Part Of,Cortisol synthesis and secretion,KEGG
Cholesterol biosynthesis via lathosterol,Reactome,Part Of,Cholesterol Biosynthesis,WikiPathways
Chondroitin sulfate biosynthesis,Reactome,Part Of,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,KEGG
Chondroitin sulfate/dermatan sulfate metabolism,Reactome,Part Of,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,KEGG
Chromatin modifying enzymes,Reactome,Part Of,Histone Modifications,WikiPathways
Chylomicron assembly,Reactome,Part Of,Cholesterol metabolism,KEGG
Chylomicron clearance,Reactome,Part Of,Cholesterol metabolism,KEGG
Chylomicron remodeling,Reactome,Part Of,Cholesterol metabolism,KEGG
Citric acid cycle (TCA cycle),Reactome,Equivalent,TCA Cycle,WikiPathways
Class A/1 (Rhodopsin-like receptors),Reactome,Equivalent,"GPCRs, Class A Rhodopsin-like",WikiPathways
Class B/2 (Secretin family receptors),Reactome,Equivalent,"GPCRs, Class B Secretin-like",WikiPathways
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,Equivalent,"GPCRs, Class C Metabotropic glutamate, pheromone",WikiPathways
Class I MHC mediated antigen processing & presentation,Reactome,Part Of,Antigen processing and presentation,KEGG
Clathrin-mediated endocytosis,Reactome,Part Of,Endocytosis,KEGG
Coenzyme A biosynthesis,Reactome,Part Of,Pantothenate and CoA biosynthesis,KEGG
Common Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Common Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Complement cascade,Reactome,Part Of,Complement and coagulation cascades,KEGG
Complement cascade,Reactome,Equivalent,Complement Activation,WikiPathways
Complement cascade,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
M1580_K2555) Translocation Mutant,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
COX reactions,Reactome,Part Of,Prostaglandin Synthesis and Regulation,WikiPathways
CREB phosphorylation through the activation of CaMKK,Reactome,Part Of,Energy Metabolism,WikiPathways
CREB phosphorylation through the activation of Ras,Reactome,Part Of,Ras signaling pathway,KEGG
CYP2E1 reactions,Reactome,Part Of,Drug metabolism - cytochrome P450,KEGG
CYP2E1 reactions,Reactome,Part Of,Gut-Liver Indole Metabolism,WikiPathways
CYP2E1 reactions,Reactome,Part Of,Oxidation by Cytochrome P450,WikiPathways
Cysteine formation from homocysteine,Reactome,Part Of,Biosynthesis of amino acids,KEGG
Cysteine formation from homocysteine,Reactome,Part Of,Cysteine and methionine metabolism,KEGG
Cysteine formation from homocysteine,Reactome,Part Of,Folate Metabolism,WikiPathways
Cysteine formation from homocysteine,Reactome,Part Of,Trans-sulfuration and one carbon metabolism,WikiPathways
Cysteine formation from homocysteine,Reactome,Equivalent,Trans-sulfuration pathway,WikiPathways
Cytochrome c-mediated apoptotic response,Reactome,Part Of,Pathways in cancer,KEGG
Cytochrome c-mediated apoptotic response,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Cytochrome P450 - arranged by substrate type,Reactome,Part Of,Lidocaine metabolism,WikiPathways
Cytochrome P450 - arranged by substrate type,Reactome,Part Of,Oxidation by Cytochrome P450,WikiPathways
Cytokine Signaling in Immune system,Reactome,Equivalent,Cytokines and Inflammatory Response,WikiPathways
Cytosolic tRNA aminoacylation,Reactome,Part Of,Aminoacyl-tRNA biosynthesis,KEGG
Defective ABCA1 causes Tangier disease,Reactome,Part Of,ABC transporters,KEGG
Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B,Reactome,Part Of,ABC transporters,KEGG
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3),Reactome,Part Of,ABC transporters,KEGG
Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3),Reactome,Part Of,ABC transporters,KEGG
Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2,Reactome,Part Of,ABC transporters,KEGG
"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",Reactome,Part Of,ABC transporters,KEGG
Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7),Reactome,Part Of,ABC transporters,KEGG
Defective ABCC2 causes Dubin-Johnson syndrome,Reactome,Part Of,ABC transporters,KEGG
Defective ABCC6 causes pseudoxanthoma elasticum (PXE),Reactome,Part Of,ABC transporters,KEGG
Defective ABCC8 can cause hypoglycemias and hyperglycemias,Reactome,Part Of,ABC transporters,KEGG
"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",Reactome,Part Of,ABC transporters,KEGG
Defective ABCD1 causes adrenoleukodystrophy (ALD),Reactome,Part Of,ABC transporters,KEGG
"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",Reactome,Part Of,ABC transporters,KEGG
Defective ABCG5 causes sitosterolemia,Reactome,Part Of,ABC transporters,KEGG
Defective ABCG8 causes gallbladder disease 4 and sitosterolemia,Reactome,Part Of,ABC transporters,KEGG
Defective GCK causes maturity-onset diabetes of the young 2 (MODY2),Reactome,Part Of,Maturity onset diabetes of the young,KEGG
Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD),Reactome,Part Of,Ferroptosis,KEGG
Defective LFNG causes SCDO3,Reactome,Part Of,Canonical  and Non-canonical Notch signaling,WikiPathways
Defective MAOA causes Brunner syndrome (BRUNS),Reactome,Part Of,Neurotransmitter Disorders,WikiPathways
Defective Mismatch Repair Associated With MSH2,Reactome,Part Of,Colorectal cancer,KEGG
Defective Mismatch Repair Associated With MSH2,Reactome,Part Of,Pathways in cancer,KEGG
Defective Mismatch Repair Associated With MSH2,Reactome,Part Of,Integrated Cancer Pathway,WikiPathways
Defective Mismatch Repair Associated With MSH3,Reactome,Part Of,Colorectal cancer,KEGG
Defective Mismatch Repair Associated With MSH3,Reactome,Part Of,Pathways in cancer,KEGG
Defective Mismatch Repair Associated With MSH6,Reactome,Part Of,Colorectal cancer,KEGG
Defective Mismatch Repair Associated With MSH6,Reactome,Part Of,Integrated Cancer Pathway,WikiPathways
"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",Reactome,Part Of,Ferroptosis,KEGG
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Reactome,Part Of,Parkinson disease,KEGG
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Reactome,Part Of,Neurotransmitter Disorders,WikiPathways
Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS),Reactome,Part Of,Parkinsons Disease Pathway,WikiPathways
Defects in cobalamin (B12) metabolism,Reactome,Part Of,Vitamin B12 Metabolism,WikiPathways
Degradation of GLI1 by the proteasome,Reactome,Part Of,Proteasome,KEGG
Degradation of GLI2 by the proteasome,Reactome,Part Of,Proteasome,KEGG
Degradation of the extracellular matrix,Reactome,Part Of,Matrix Metalloproteinases,WikiPathways
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Reactome,Part Of,Alzheimer disease,KEGG
Dermatan sulfate biosynthesis,Reactome,Part Of,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,KEGG
Digestion and absorption,Reactome,Part Of,Carbohydrate digestion and absorption,KEGG
Digestion of dietary carbohydrate,Reactome,Part Of,Carbohydrate digestion and absorption,KEGG
Digestion of dietary lipid,Reactome,Part Of,Fat digestion and absorption,KEGG
Digestion of dietary lipid,Reactome,Part Of,Glycerophospholipid metabolism,KEGG
Dimerization of procaspase-8,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
Dissolution of Fibrin Clot,Reactome,Part Of,Complement and coagulation cascades,KEGG
Dissolution of Fibrin Clot,Reactome,Part Of,Blood Clotting Cascade,WikiPathways
Dissolution of Fibrin Clot,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
DNA Damage Bypass,Reactome,Part Of,DNA Damage Response,WikiPathways
DNA Damage Reversal,Reactome,Part Of,DNA Damage Response,WikiPathways
DNA Replication,Reactome,Equivalent,DNA Replication,WikiPathways
Dopamine clearance from the synaptic cleft,Reactome,Part Of,Dopaminergic synapse,KEGG
Dopamine clearance from the synaptic cleft,Reactome,Part Of,Dopamine metabolism,WikiPathways
Dopamine Neurotransmitter Release Cycle,Reactome,Part Of,Synaptic Vesicle Pathway,WikiPathways
Dopamine receptors,Reactome,Part Of,Dopaminergic synapse,KEGG
Dopamine receptors,Reactome,Part Of,Dopamine metabolism,WikiPathways
Dopamine receptors,Reactome,Part Of,Monoamine GPCRs,WikiPathways
Downregulation of ERBB2 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
ERBB3 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
Downregulation of ERBB4 signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
ECM proteoglycans,Reactome,Part Of,ECM-receptor interaction,KEGG
EGFR downregulation,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
EGFR interacts with phospholipase C-gamma,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
EGFR interacts with phospholipase C-gamma,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
EGFR Transactivation by Gastrin,Reactome,Part Of,EGF/EGFR Signaling Pathway,WikiPathways
EGFR Transactivation by Gastrin,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
Eicosanoid ligand-binding receptors,Reactome,Part Of,Prostaglandin Synthesis and Regulation,WikiPathways
Elevation of cytosolic Ca2+ levels,Reactome,Part Of,Calcium signaling pathway,KEGG
Endosomal Sorting Complex Required For Transport (ESCRT),Reactome,Part Of,Endocytosis,KEGG
Enzymatic degradation of dopamine by COMT,Reactome,Part Of,Dopaminergic synapse,KEGG
Enzymatic degradation of dopamine by COMT,Reactome,Part Of,Dopamine metabolism,WikiPathways
Enzymatic degradation of Dopamine by monoamine oxidase,Reactome,Part Of,Dopaminergic synapse,KEGG
Enzymatic degradation of Dopamine by monoamine oxidase,Reactome,Part Of,Dopamine metabolism,WikiPathways
ER-Phagosome pathway,Reactome,Part Of,Phagosome,KEGG
ERBB2 Activates PTK6 Signaling,Reactome,Part Of,ErbB signaling pathway,KEGG
ERBB2 Activates PTK6 Signaling,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
ERBB2 Regulates Cell Motility,Reactome,Part Of,ErbB signaling pathway,KEGG
ERBB2 Regulates Cell Motility,Reactome,Part Of,ErbB Signaling Pathway,WikiPathways
ERK/MAPK targets,Reactome,Part Of,MAPK signaling pathway,KEGG
Estrogen biosynthesis,Reactome,Part Of,Ovarian steroidogenesis,KEGG
Estrogen biosynthesis,Reactome,Part Of,Steroid hormone biosynthesis,KEGG
Estrogen biosynthesis,Reactome,Part Of,Steroid Biosynthesis,WikiPathways
Ethanol oxidation,Reactome,Part Of,Drug metabolism - cytochrome P450,KEGG
Extrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Extrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Blood Clotting Cascade,WikiPathways
Extrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
FasL/ CD95L signaling,Reactome,Part Of,Apoptosis Modulation and Signaling,WikiPathways
FasL/ CD95L signaling,Reactome,Part Of,Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation,WikiPathways
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Reactome,Equivalent,GPR40 Pathway,WikiPathways
Fatty acyl-CoA biosynthesis,Reactome,Part Of,Biosynthesis of unsaturated fatty acids,KEGG
Fatty acyl-CoA biosynthesis,Reactome,Part Of,Fatty acid biosynthesis,KEGG
Fatty acyl-CoA biosynthesis,Reactome,Part Of,Fatty Acid Biosynthesis,WikiPathways
Fc epsilon receptor (FCERI) signaling,Reactome,Part Of,Fc epsilon RI signaling pathway,KEGG
FCERI mediated MAPK activation,Reactome,Part Of,MAPK signaling pathway,KEGG
Formation of annular gap junctions,Reactome,Part Of,Gap junction,KEGG
